id_denuncia;tipo_de_denuncia;id_violencia;tipo_violencia;periodo_dia;endereco;estado;nome;idade;identidade_de_genero;orientacao_sexual;etnia;escolaridade;genero_biologico
1;Violencia Domestica;1;Moral;Tarde;Travessa de Costa, 834;AC;Joaquim Castro;74;Homem Transgenero;Heterossexual;Negro;Ensino Fundamental Completo;Masculino
2;;2;Fisica;Tarde;;;;49;;;;;
3;;3;Fisica;Manha;;;;88;;;;;
4;;4;Fisica;Madrugada;;;;60;;;;;
5;Agressao;5;Fisica;Manha;Distrito Guilherme Cunha, 977;SE;Mathias Rios;1;Homem Transgenero;Pansexual;Negro;Ensino Superior Completo;Masculino
6;Assedio;6;Psicologica;Manha;Fazenda Pastor, 834;TO;Clara Melo;8;Mulher Cisgenero;Heterossexual;Indigena;Pos-graduacao;Masculino
7;Invalido;7;Sexual;Tarde;Rua Souza, 135;ES;Julia Pereira;0;Homem Transgenero;Pansexual;Amarelo;Ensino Medio Completo;Feminino
8;;8;Moral;Madrugada;;;;55;;;;;
9;;9;Psicologica;Noite;;;;106;;;;;
10;Assedio;10;Sexual;Madrugada;Pátio Guerra, 681;TO;Gael Alves;84;Mulher Transgenero;Assexual;Branco;Ensino Medio Completo;Masculino
11;Assedio;11;Patrimonial;Manha;Sítio Pacheco, 403;XX;Srta. Natália Sá;39;Homem Transgenero;Bissexual;Pardo;Ensino Fundamental Incompleto;Feminino
12;;12;Psicologica;Manha;;;;99;;;;;
13;Invalido;13;Psicologica;Manha;Esplanada de Monteiro, 967;BA;Ágatha Mendes;28;Homem Cisgenero;Heterossexual;Indigena;Ensino Medio Incompleto;Feminino
14;Outros;14;Moral;Madrugada;Recanto Isabelly Vieira, 799;PR;Pedro Henrique Gonçalves;195;Mulher Transgenero;Heterossexual;Amarelo;Ensino Fundamental Incompleto;Feminino
15;Invalido;15;Sexual;Madrugada;Condomínio Yan Sampaio, 25;PR;Gabrielly Azevedo;53;Mulher Transgenero;Assexual;Negro;Pos-graduacao;Masculino
