"ID";"TipoDenuncia";"IDViolencia";"TipoViolencia";"PeriodoDia";"Endereco";"Estado";"Nome";"Idade";"IdentidadeGenero";"OrientacaoSexual";"Etnia";"Escolaridade";"GeneroBiologico"
1;"violencia domestica";1;"moral";"tarde";"travessa de costa, 834";"ac";"joaquim castro";74;"homem transgenero";"heterossexual";"negro";"ensino fundamental completo";"feminino"
10;"assedio";10;"sexual";"madrugada";"patio guerra, 681";"to";"gael alves";84;"mulher transgenero";"assexual";"branco";"ensino medio completo";"masculino"
11;"assedio";11;"patrimonial";"manha";"sitio pacheco, 403";"al";"natalia sa";39;"homem transgenero";"bissexual";"pardo";"ensino fundamental incompleto";"feminino"
14;"outros";14;"moral";"madrugada";"recanto isabelly vieira, 799";"pr";"pedro henrique goncalves";55;"mulher transgenero";"heterossexual";"amarelo";"ensino fundamental incompleto";"masculino"
16;"outros";16;"moral";"madrugada";"ladeira peixoto, 605";"pb";"joao lucas farias";89;"mulher transgenero";"pansexual";"indigena";"ensino medio incompleto";"masculino"
17;"agressao";17;"fisica";"manha";"estrada de moreira, 307";"pb";"danilo rezende";99;"homem cisgenero";"heterossexual";"branco";"pos-graduacao";"masculino"
19;"agressao";19;"moral";"tarde";"aeroporto de ramos, 903";"ac";"carlos eduardo montenegro";55;"mulher transgenero";"assexual";"negro";"ensino medio incompleto";"masculino"
24;"outros";24;"sexual";"madrugada";"campo de camara, 475";"go";"oliver aparecida";55;"mulher cisgenero";"pansexual";"indigena";"pos-graduacao";"feminino"
25;"assedio";25;"sexual";"madrugada";"sitio valentim alves, 524";"am";"anthony freitas";45;"homem transgenero";"heterossexual";"pardo";"ensino fundamental incompleto";"feminino"
28;"violencia domestica";28;"moral";"manha";"fazenda de lima, 855";"rn";"stella almeida";96;"mulher transgenero";"pansexual";"branco";"ensino fundamental completo";"masculino"
31;"violencia domestica";31;"fisica";"noite";"lago ribeiro, 673";"pe";"jose castro";55;"mulher cisgenero";"pansexual";"indigena";"ensino medio incompleto";"feminino"
34;"outros";34;"fisica";"manha";"travessa pimenta, 846";"am";"maria sophia pastor";95;"homem transgenero";"assexual";"indigena";"ensino superior completo";"feminino"
36;"outros";36;"patrimonial";"tarde";"distrito correia, 57";"rr";"davi lucas guerra";26;"homem transgenero";"bissexual";"amarelo";"pos-graduacao";"feminino"
37;"discriminacao";37;"moral";"noite";"lagoa de nunes, 312";"ap";"maria laura pastor";55;"homem transgenero";"assexual";"amarelo";"ensino superior completo";"feminino"
38;"violencia domestica";38;"patrimonial";"madrugada";"praia milena da luz, 801";"pr";"ana julia nunes";77;"nao-binario";"heterossexual";"branco";"ensino superior completo";"masculino"
