id_denuncia;tipo_de_denuncia;id_violencia;tipo_violencia;periodo_dia;endereco;estado;nome;idade;identidade_de_genero;orientacao_sexual;etnia;escolaridade;genero_biologico
1;Assedio;1;Moral;Manha;Campo Ana Cecília Peixoto, 627;SP;Srta. Melissa da Rosa;149;Mulher Cisgenero;Pansexual;Branco;Ensino Superior Completo;Masculino
2;;2;Patrimonial;Madrugada;;;;64;;;;;
3;Invalido;3;Patrimonial;Noite;Residencial Francisco Peixoto, 440;MA;Breno Mendonça;86;Homem Cisgenero;Homossexual;Amarelo;Ensino Medio Incompleto;Feminino
4;Violencia Domestica;4;Sexual;Tarde;Fazenda Isabelly Marques, 900;BA;Vitor da Rocha;53;Mulher Cisgenero;Heterossexual;Pardo;Ensino Fundamental Completo;Feminino
5;Outros;5;Moral;Madrugada;Campo da Luz, 560;AC;Emanuella Silva;31;Mulher Cisgenero;Heterossexual;Amarelo;Ensino Medio Completo;Masculino
6;Agressao;6;Psicologica;Manha;Condomínio de Mendonça, 886;ES;Natália da Rosa;20;Nao-Binario;Bissexual;Branco;Ensino Superior Completo;Masculino
7;Invalido;7;Patrimonial;Noite;Trevo Almeida, 952;PE;Murilo Aparecida;55;Homem Cisgenero;Homossexual;Amarelo;Ensino Superior Completo;Feminino
8;;8;Fisica;Madrugada;;;;107;;;;;
9;Invalido;9;Moral;Manha;Fazenda Giovanna Pimenta, 722;ES;Sra. Ana Clara Vasconcelos;57;Homem Transgenero;Heterossexual;Pardo;Ensino Superior Completo;Feminino
10;Violencia Domestica;10;Psicologica;Tarde;Alameda Luna Castro, 919;MG;Carlos Eduardo Costela;152;Homem Cisgenero;Homossexual;Indigena;Ensino Medio Incompleto;Masculino
11;Assedio;11;Psicologica;Tarde;Condomínio de da Rosa, 395;MT;Dr. Isaque Correia;65;Mulher Cisgenero;Heterossexual;Negro;Ensino Fundamental Completo;Feminino
12;Violencia Domestica;12;Psicologica;Manha;Viela Gomes, 942;XX;Caroline Lima;34;Mulher Transgenero;Pansexual;Branco;Ensino Medio Completo;Feminino
13;Violencia Domestica;13;Sexual;Madrugada;Conjunto Ramos, 344;XX;João Guilherme Câmara;24;Mulher Transgenero;Homossexual;Indigena;Ensino Superior Completo;Masculino
14;;14;Patrimonial;Manha;;;;108;;;;;
15;Discriminacao;15;Sexual;Tarde;Aeroporto Freitas, 96;MA;Sra. Evelyn Teixeira;11;Homem Cisgenero;Heterossexual;Amarelo;Ensino Fundamental Incompleto;Feminino
16;Discriminacao;16;Fisica;Noite;Setor Manuella Castro, 829;XX;Erick Vasconcelos;7;Mulher Transgenero;Homossexual;Negro;Pos-graduacao;Masculino
17;Violencia Domestica;17;Moral;Tarde;Estação de Lopes, 20;RS;Sr. Paulo Nogueira;121;Mulher Cisgenero;Bissexual;Indigena;Ensino Superior Incompleto;Masculino
18;Invalido;18;Sexual;Manha;Favela Sara Vieira, 904;PR;Sr. Samuel Casa Grande;12;Mulher Transgenero;Pansexual;Amarelo;Ensino Fundamental Completo;Masculino
19;Outros;19;Sexual;Noite;Residencial Viana, 163;PB;Anthony Gabriel da Luz;161;Homem Cisgenero;Pansexual;Negro;Ensino Medio Completo;Feminino
20;Discriminacao;20;Psicologica;Manha;Via Dias, 77;XX;Isaque Ramos;100;Homem Cisgenero;Heterossexual;Indigena;Ensino Fundamental Completo;Feminino
21;Violencia Domestica;21;Moral;Noite;Viela de Albuquerque, 755;RJ;Dra. Olívia Albuquerque;5;Nao-Binario;Bissexual;Pardo;Ensino Medio Completo;Feminino
22;;22;Psicologica;Noite;;;;26;;;;;
23;Assedio;23;Psicologica;Manha;Parque Nascimento, 471;RS;Esther Ribeiro;161;Mulher Transgenero;Pansexual;Branco;Ensino Fundamental Incompleto;Masculino
